CoCNo,Name,Description,Expected,Value,Framework,Evidence
3.1.1,"Group Involvement","Establish an approval board containing representatives from all disciplines including Senior Management, IT, M&E Engineering, Applications/Software and Procurement. Require the approval of this group for any significant decision to ensure that the impacts of the decision have been properly understood and an effective solution reached. For example, this could include the definition of standard IT hardware lists through considering the M&E implications of different types of hardware. This group could be seen as the functional equivalent of a change board.",Entire Data Centre,5,"The organisation shall establish an approval board that meets on a regular basis and shall contain representatives from all disciplines including Senior Management, IT, M&E Engineering, Applications/Software and Procurement. The organisation shall require the approval of this group for any significant decision to ensure that the impacts of the decision have been properly understood and an effective solution reached. For example, this could include the definition of standard IT hardware lists through considering the M&E implications of different types of hardware. This group could be seen as the functional equivalent of a change board. The meeting minutes shall be documented. Note: the frequency of the meetings shall be at the descretion of the organisation, but should be once every 3 months. The agenda should also be at the descretion of the organisation, but should include, but not be limited to the following, Attendees, Agenda, Items for discussion, Actions arising, AOB.","Evidence would be copies of the approval board minutes including circulation list."
3.2.1,"Consider the embodied environmental impact of installed devices","Carry out an audit of existing equipment to maximise any unused existing capability by ensuring that all areas of optimisation, consolidation and aggregation are identified prior to new material investment. The most important element to this in terms of impact is the IT equipment. The severity of impact is related to the frequency of refresh and replacement.",Entire Data Centre,3,"The organisation shall carry out and document an audit of all existing equipment to maximise any unused existing capability by ensuring that all areas of optimisation, consolidation and aggregation are identified prior to new material investment. Note: The severity of impact is related to the frequency of refresh and replacement.","Audit Documents"
3.2.2,"Mechanical and electrical equipment environmental operating ranges","Recommend the selection and deployment of mechanical and electrical equipment which does not itself require additional cooling beyond standard office room cooling in normal operation (the exception to this being some UPS batteries). Note: Some UPS batteries require to be kept at lower temperatures to preserve performance and reliability and to maximise operational lifetime.",New build or retrofit,4,"The organisation shall recommend the selection and deployment of mechanical and electrical equipment which does not itself require additional cooling beyond standard office room cooling in normal operation. Note: the exception to this being some UPS batteries. Some UPS batteries require to be kept at lower temperatures to preserve performance and reliability and to maximise operational lifetime.","Design & Procurement Documents"
3.2.4,"Life Cycle Assessment","Introduce a plan for Life Cycle Assessment (LCA) in accordance with EU guidelines and internationally standardised methodologies. Examples of which would be ISO 14040 and ISO 14044. EN 15978 'Sustainability of construction works - assessment of environmental performance of buildings - calculation method' is also a standard that is considered relevant to this Practice. Note: This Practice aims to reduce overall carbon footprint and improve sustainability rather than directly improve energy efficiency. A list of recommended environmental sustainability practices is available in the CEN/CENELEC document CLC/TR 50600-99-2.",New build or retrofit,3,"The organisation shall introduce a plan for Life Cycle Assessment (LCA) in accordance with EU guidelines and internationally standardised methodologies. Note: Examples are notably the latest version of EN ISO 14040, EN ISO 14044, EN 15978 ‘Sustainability of construction works – assessment of environmental performance of buildings – calculation method’ is also a standard that is considered relevant to this Practice. Note: This Practice aims to reduce overall carbon footprint and improve sustainability rather than directly improve energy efficiency. A list of recommended environmental sustainability practices is available in the latest version of CEN/CENELEC document CLC/TR 50600-99-2.","LCA documents"
3.2.5,"Environmental Management","Introduce a plan for Environmental Management in accordance with emerging EU guidelines and internationally standardised methodologies. An example of which would be ISO 14001. Consider appointing a cross functional Environmental Sustainability Manager to take responsibility for this initiative.","Entire Data Centre",3,"The organisation shall introduce a plan for Environmental Management in accordance with emerging EU guidelines and internationally standardised methodologies, for example EN ISO 14001. The organisation shall consider appointing a cross-functional Environmental Sustainability Manager to take responsibility for this initiative. Note: this practice can be fullfilled by implementation of practice 326. ISO 14001 or Equivalent","Documents or Certificate"
3.2.6,"Energy Management","Introduce a plan for Energy Management in accordance with emerging EU guidelines and internationally standardised methodologies. An example of which would be ISO 50001. Note: The Code of Conduct can be used effectively to underpin the expectations and reporting requirements specifically for data centres in relation to ISO 50001. Consider appointing a cross functional Energy Manager to take responsibility for this initiative.",Entire Data Centre,3,"The organisation shall introduce a plan for Energy Management in accordance with emerging EU guidelines and internationally standardised methodologies, for example EN ISO 50001. Note: The Code of Conduct can be used effectively to underpin the expectations and reporting requirements specifically for data centres in relation to EN ISO 50001. The organisation Consider appointing a cross functional Energy Manager to take responsibility for this initiative. Note: this practice can be fullfilled by implementation of practice 325.","ISO50001 or Equivalent Documents or Certificate."
3.2.7,"Asset Management","Ensure that Asset Management for both IT and mechanical and electrical assets etc. is implemented and controlled according to a standard and accepted methodology. An example of which would be ISO 55000. Understanding the numbers, types and purposes of the assets deployed in a datacentre underpins effective energy management.",Entire Data Centre,3,"The organisation shall ensure that Asset Management for both IT as well as mechanical and electrical assets is implemented and controlled according to a standard and accepted methodology. Note: ISO 55000 is relevant. Note: Understanding the numbers, types and purposes of the assets deployed in a data centre underpins effective energy management. ISO55000 or equivalent documents.","Certificate or review of Asset Management System"
3.2.8,"Sustainable energy usage","Consider the proportion of energy used by the data centre that comes from renewable /sustainable sources. Recording and reporting on the proportion of sustainable / renewable energy used against the overall energy consumption is expected to become an expected monitoring and reporting requirement in time. Note: Standardised metrics in this area are available as EN 50600-4-3 or ISO/IEC30134-3. EN 50600 4-3 'Information technology —Data centre facilities and infrastructures —Part 4-3: Renewable Energy Factor' specifies the 'Renewable Energy Factor, REF' as the ratio of the renewable energy (in kWh) to the total energy consumption (in kWh). Note: REF covers all renewable energy purchased from the utility (with guarantee of origin) and produced on-site. However,renewable energy produced on-site, that is not consumed on-site and partly or in total sold to the grid, shall be excluded from REF. Note: CLC/TR 50600- 99-1 and CLC/TR50600-99-2 address Best Practices for Data Centre Energy Efficiency and Environmental Sustainability respectively. Both are a part of the European EN 50600 Standard series. Note: The EN 50600 series has now been adopted by ISO/IEC as ISO/IEC TS 22237. Note: ETSI EN 305 200-3-1 KPIREN KPI excludes both energy from grid and energy not consumed on site, in conformance with net zero initiatives.",Entire Data Centre,1,"The organisation shall consider, report and document the proportion of energy used by the data centre that comes from renewable/sustainable sources. Recording and reporting on the proportion of sustainable/renewable energy used against the overall energy consumption is expected to become an expected monitoring and reporting requirement in time. Note 1: Standardised metrics in this area are available, such as EN 50600-4-3. EN 50600-4-3 'Information technology — Data centre facilities and infrastructures — Part 4-3: Renewable Energy Factor' specifies the Renewable Energy Factor, CLC/TR 50600-99-1 and CLC/TR 50600-99-2 address 'Best Practices for Data Centre Energy Efficiency' and 'Environmental Sustainability' respectively. Note 2: EN 50600-1, EN 50600-2-X and EN 50600-3-1 have been adopted by ISO/IEC as ISO/IEC TS 22237. Note: ETSI EN 305 200-3-1 KPIREN KPI excludes both energy from grid and energy not consumed on site, in conformance with net zero initiatives.","Documents relating to the procurement of sustainable energy/Renewable energy certificate from Supplier/ DCiM/BMS/EMS information showing REF values"
3.2.12,"Monitor and manage air quality","Ensure that air quality is monitored and managed to ensure that critical equipment is not damaged by particulates or corrosive elements which might impact both IT equipment and cooling equipment in terms of performance, energy efficiency and reliability. This should inform the choice of filters used and the planned replacement schedule as well as the frequency of routine technical cleaning programme (including underfloorand ceiling void areas if applicable). Filter choices should be informed by ISO16890-1. Note: The ASHRAE white paper ‘2011 Gaseous and Particulate Contamination Guidelines for Data Centers’ recommends that data centre air quality is monitored and cleaned according to ISO 14644-8 Class 8. This can be achieved by routine technical cleaning and simple filtration. Note: Airborne Contaminants including gaseous contaminants should be managed according to ANSI/ISA 71.04-2013.",Entire Data Centre,2,"The organisation shall ensure that air quality is monitored and managed to ensure that critical equipment is not affected by particulates or corrosive elements which might impact both IT equipment and cooling equipment in terms of performance, energy efficiency and reliability. This should inform the choice of filters used and the planned replacement schedule as well as the frequency of routine technical cleaning programme (including underfloor and ceiling void areas if applicable). Filter choices should be informed by EN ISO 16890-1. Note 1: The ASHRAE white paper ‘2011 Gaseous and Particulate Contamination Guidelines for Data Centers’ recommends that data centre air quality is monitored and cleaned according to EN ISO 14644.8, Class 8. This can be achieved by routine technical cleaning and simple filtration. Note 2: Airborne Contaminants including gaseous contaminants should be managed according to ANSI/ISA 71.04-2013.","Air Quality Management Documents, Service records"
3.2.13,"Consider technical areas of data centres as industrial space","The data centre technical areas and plant rooms should be considered as an industrial space, designed built and operated with the single primary objective of delivering high availability IT services reliably and efficiently. Note: This objective aims to prevent the energy efficiency of the technical space being compromised by the need for human comfort other than to comply with local statutory requirement and law (Health and Safety etc.). Note: Data Centres are primarily technical spaces, not office space, and should therefore only require the control make up air volumes and environmental conditions to pressurise the spaces in order avoid ingress of particles and contaminants rather than for seated human comfort. This only relates to those areas of the centre intended to hold operational IT equipment or supporting mechanical or electrical infrastructure. These areas should not contain desks or workstations. Note: This is not intended to reduce or impose conditions on dedicated and purpose built office space within the data centre building.",Entire Data Centre,3,"The data centre technical areas and plant rooms shall be considered as an industrial space, designed, built and operated efficiently for ICT equipment rather than for human comfort. Note: This objective aims to prevent the energy efficiency of the technical space being compromised by the need for human comfort other than to comply with local statutory requirement and law (Health and Safety etc.). Note: Data Centres are primarily technical spaces, not office space, and should therefore only require the control make up air volumes and environmental conditions to pressurise the spaces in order avoid ingress of particles and contaminants rather than for seated human comfort. This only relates to those areas of the centre intended to hold operational IT equipment or supporting mechanical or electrical infrastructure. These areas should not contain desks or workstations. Note: This is not intended to reduce or impose conditions on dedicated and purpose-built office space within the data centre building. Note: the air quality can be monitored according to EN50600-2-3.","Visual Inspection, Design Documents and Design Brief"
