,id,name,owner,address,city,postal_code,region,country,country_code,cadastral_id,power_installed,square_ft_meters_global,square_ft_meters_it,date_of_building_manufacturing,date_of_land_buying_act,main_source,secondary_source,last_update,comment_main_source,comment_secondary_source
0,ACDALIS,ACDALIS,,Neuhofstrasse 21d,Inwil,6340 Baar,Zoug,Switzerland,CH,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:20.555474+02:00,scraped from website with selenium,
0,ADISTA_-_AIX_EN_PROVENCE,ADISTA - AIX EN PROVENCE,,"290, Avenue Galilée",Aix-en-Provence,13100 Aix en Provence,Provence-Alpes-Côte d'Azur,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:20.972230+02:00,scraped from website with selenium,
0,ADISTA_-_BOURGES,ADISTA - BOURGES,,14 rue Didier Daurat Esplanade de l’aéroport,,18000 Bourges,Centre-Val de Loire,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:21.287198+02:00,scraped from website with selenium,
0,ADISTA_-_MAXÉVILLE,ADISTA - MAXÉVILLE,,9 Rue Blaise Pascal,Maxéville,54320 Maxéville,Grand Est,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:21.586882+02:00,scraped from website with selenium,
0,ADISTA_-_SAINT-ETIENNE,ADISTA - SAINT-ETIENNE,,1 Rue de la Presse,Saint-Étienne,42000 Saint-Étienne,Auvergne-Rhône-Alpes,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:21.893790+02:00,scraped from website with selenium,
0,ADISTA_FINGERPRINT,ADISTA FINGERPRINT,,5 Rue Jean Charcot,,26100 Romans-sur-Isère,Auvergne-Rhône-Alpes,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:22.825812+02:00,scraped from website with selenium,
0,ADVANCED_MEDIOMATRIX,ADVANCED MEDIOMATRIX,,1 Rue du Jardin d'Ecosse,Peltre,57245 Peltre,Grand Est,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:23.149414+02:00,scraped from website with selenium,
0,AGARIK_-_ATOS_1,AGARIK - ATOS 1,,210 Boulevard André Bahonneau,,49800 Trélazé,Pays de la Loire,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:23.632924+02:00,scraped from website with selenium,
0,AGARIK_-_ATOS_2,AGARIK - ATOS 2,,210 Boulevard André Bahonneau,,49800 Trélazé,Pays de la Loire,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:24.018923+02:00,scraped from website with selenium,
0,AGARIK_-_ATOS_3,AGARIK - ATOS 3,,"20, Rue Dieumegard, Rosiers",,93400 Saint-Ouen-sur-Seine,Île-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:24.409772+02:00,scraped from website with selenium,
